Date,AAPL,MSFT,GOOGL,AMZN,NVDA,AMD,INTC,QCOM,META,ADBE,HD,TGT,COST,LOW,NKE,MCD,SBUX,TJX,ROST
2020-12-15,125.04811096191406,206.98193359375,87.83650207519531,158.25599670410156,13.327596664428711,97.12000274658203,45.80696105957031,136.90626525878906,274.72283935546875,482.6400146484375,244.4464874267578,155.77398681640625,353.6997375488281,151.954833984375,133.531494140625,197.3275909423828,95.5571060180664,62.740535736083984,108.39405059814453
2020-12-16,124.97964477539062,211.96002197265625,87.6424789428711,162.04800415039062,13.20988655090332,96.8499984741211,46.21377182006836,138.1797332763672,274.84246826171875,489.8999938964844,245.91513061523438,156.02845764160156,351.3789978027344,151.83389282226562,132.52561950683594,196.35409545898438,94.722412109375,62.62773513793945,108.71995544433594
2020-12-17,125.84991455078125,212.0953369140625,86.81053924560547,161.8040008544922,13.308392524719238,96.83999633789062,45.78887939453125,137.98593139648438,273.65606689453125,495.3599853515625,249.91043090820312,155.6195068359375,352.18743896484375,152.15023803710938,134.59487915039062,196.76734924316406,94.66738891601562,63.464393615722656,111.84457397460938
2020-12-18,123.85511779785156,211.2930450439453,86.0978012084961,160.08250427246094,13.239314079284668,95.91999816894531,42.90503692626953,136.03884887695312,275.57025146484375,502.95001220703125,246.69956970214844,154.87429809570312,349.0582580566406,151.83389282226562,131.5101776123047,197.52963256835938,94.73159790039062,63.64299392700195,112.77432250976562
2020-12-21,125.39032745361328,215.15948486328125,86.51377868652344,160.3090057373047,13.29941463470459,93.2300033569336,41.91062545776367,135.46669006347656,271.97113037109375,498.3900146484375,247.19215393066406,156.09202575683594,347.1275634765625,152.8852081298828,137.9669189453125,194.39788818359375,94.41973876953125,63.210567474365234,111.9404296875
2020-12-22,128.95950317382812,216.46444702148438,85.79854583740234,160.3260040283203,13.245550155639648,93.16000366210938,41.73884963989258,135.04222106933594,266.2882385253906,504.1700134277344,246.3256072998047,156.6282501220703,344.331298828125,153.14566040039062,136.46286010742188,194.62750244140625,93.93360137939453,62.95674514770508,111.89250946044922
2020-12-23,128.05990600585938,213.64193725585938,86.19805908203125,159.2635040283203,12.977209091186523,91.55000305175781,42.10045623779297,135.6143798828125,267.30517578125,496.9100036621094,246.11578369140625,158.95469665527344,344.19818115234375,151.11752319335938,135.8018798828125,194.7193145751953,93.61255645751953,63.3045654296875,113.23438262939453
2020-12-24,129.04750061035156,215.3141632080078,86.49382781982422,158.63450622558594,12.961748123168945,91.80999755859375,42.55247116088867,137.3030548095703,266.5972900390625,499.8599853515625,247.12832641601562,159.2091827392578,346.7566223144531,151.433837890625,135.6486358642578,194.1407470703125,93.56673431396484,62.966148376464844,113.11935424804688
2020-12-28,133.66299438476562,217.45040893554688,88.47891235351562,164.197998046875,12.868229866027832,91.5999984741211,42.55247116088867,136.3341522216797,276.1684875488281,498.95001220703125,245.60501098632812,160.29974365234375,352.9197998046875,150.75469970703125,136.4437255859375,196.55615234375,95.70386505126953,64.30106353759766,117.52835083007812
2020-12-29,131.88327026367188,216.66744995117188,87.67091369628906,166.10000610351562,12.911371231079102,90.62000274658203,44.64980697631836,137.0262451171875,275.94915771484375,502.1099853515625,242.813720703125,159.0728302001953,354.4986572265625,149.359130859375,135.61985778808594,195.35302734375,96.88707733154297,63.91560745239258,116.41651916503906
